Username,Comment,vader_sentiment
@icono__7136,"I feel so relived; I'm finally learning this darn thing! Thank you for the tutorial. Thank you for taking the time to do this Gwen!

Edit: Upon reviewing the tutorial again, I'd like to say:

1. When creating a tutorial, you guys should  understand the importance of slowing down to the pace of the learner. In the beginning you walk us through a nice set of key terms (which was exceptional), then start mixing lots of advanced and beginner-level concepts together in your explanations, confusing the person that's watching the video. Slow down, explain like we're 5, that's why we're here.

2. To expand upon the issue of mixing things up I mentioned above, it's okay to keep a tutorial short, and add footnotes later if you think that the advanced concepts you're touching on are still worth being aware of. That way, the beginner can truly focus their attention on the basics, and then access the footnote only when they feel comfortable with the knowledge they've acquired thus far, making the content of your footnotes even more effective. After all, isn't good programming about being efficient? 

I used to get annoyed at being expected to take additional English classes as a Computer Science student, but now I understand why. I spent 4 hours yesterday debugging a Terminal issue, only to later realize that there was an ""issue"" because the person who created the how-to GitHub document instructed the reader to paste this code into the Terminal command line: 



They said to  this command in the terminal (meaning: include the quotation marks). After 4 hours of learning about chmod, File Links, Groups, root directory, Inodes—things I knew NOTHING about prior to this, I resolved my problem by simply removing the quotation marks. 

Now, the arrogant developer might say, ""Well that's obvious"". No it's not! The person said ""paste"", meaning I would: 

- Select the piece of code
- Apply ctrl+c to it, for Windows (cmd+c on Mac)
- Go to the Terminal and apply ctrl+v/cmd+v

Either the tutorial should have been made like this: 

 ,  

or the person writing the document should I mentioned that the quotation marks need to be removed. 

As Software Engineering becomes more collaborative, programmers can no longer get away with being asocial, and communication impaired, so this is an area a lot more engineers need to start being proficient in .",1
@CassCodeIt,"So as a self taught developer this has not been my first time looking into Git, but this the first time commands lines were explained even better which is good. 

Most places I would only get commands and work from there not knowing how to and when to use them.

Gwen here, did a great job explaining and sharing the common usage and howwhen to. I am now confident to continue working and learning git.
Thanks greate content.",1
@samuraijack5919,"When I get my job in web development, you can be sure that I'm coming back to help you guys out.",1
@rerere7702,I'm literally five minutes in and I can already tell that you put great detail into this video. Keep up the great work!,1
@jinyoungchoi3443,This video is amazing! I failed to understand Github for several years until I came across this video. Thanks!,1
@tjex,"21:34 - you need to type in the full file path with the desired file name at the end. eg. /Users/tillman/.ssh/[insert desired file name]
Otherwise it just ends up in the root of the Home folder. Just so people know. Could cause confusion.",1
@VishalGupta-xw2rp,You People are like a Blessing... Like Water in Dessert... You People are too Good for us. May the Force be with you️🇮🇳,1
@JIHYELEE-h2m,I'm not native speaker of English. So I really appreciate your speed of speaking. Thanks a lot!,1
@alanmurray4011,Thanks Gwen. This is the best beginner tutorial I have come across for Git and GitHub. What makes it the best is that you don't assume that any bit of information is too trivial or unimportant to mention. I feel a lot more comfortable on the topic now. Thanks again!,1
@Kawaremu,I really learnt many things out of this video and I'm finally able to dive into version controls softwaare yeeeea!,1
@criscrawford4615,"Thanks - I forgot everything ""git"" in the last year and relearned it all plus more after watching this one hour video.",1
@ei_acc,"If you're a new to web development this is very important, precisely what I was looking for. thanks for this amazing content",1
@bkatsevych,Probably the best Git and GitHub crash course newcomers can have. Thanks a lot for a perfectly done job!,1
@SuperLm21,"The way you are explaining your voice timming is just perfect to go along . I´m confident using Git now and it´s no longer a monster , off course it needs practice . Thanks from Portugal!",1
@user-vq5gv1vg3w,"You did an amazing job, I don't collaborate on any projects and just used git for tracking changes over time, making my github page look busy, and project copypasta. But this reminded me how immensely useful git is; built a reference guide around your video Thank you!",1
@thecalgarians4597,"It's the best Git / Github tutorial out there and that too at no cost to the learner.
Amazingly explained all important and, I believe, the most commonly used git commands / Github operations in such an easy to understand manner.
I feel so confident now in using git/github from earlier being a Zero in this space.
I'd spcially acknowledge the slow pace of Gwen's speaking while explaining all these concepts.
Wonderful job done, Gwen.
Thank a ton!!!!!",1
@tradewithaakash2939,5 min into the video and i already know that this is the correct video to understand git and git-hub.,1
@MS-wv8nk,"Gwen, your tutorial is absolutely excellent! I am so grateful for IT pros like you! You are very clear, thorough, detailed. I've always wanted to better understand Git & Github and I believe you are my answer to learn how to make use of these great tools. It's SO nice to have a non-judgmental pro who makes sense and doesn't teach as if most of us out here already know what the tool does and how we can benefit from it. Hopefully I can teach my friends in time. I've just become your newest subscriber, so many thanks and please keep up the excellent teaching. I'm excited and now engaged...I've just got to make time to learn it and learn it well.

Much respect.
 - MS!",1
@charlesagyei9200,The best Git tutorial I’ve ever had. Straight to the point and clear explanations to the important features. Thank you so much,1
@bahador924,by far this was the best course on GitHub I have ever seen.,1
@EricTighten,"Just to make it clear, if you don't have your ssh set up yet, you won't be able to clone the repo to your local machine, which is at around 15:05 of this tutorial",1
@brickviking667,"Thank you for this course, it seems to be a great refresher. My only comment about the content is that at least at my end, the audio is really quiet in comparison to a lot of the other videos I look at. I'm not sure if this is deliberate.",1
@prabhatkumarsingh5728,"You guys are awesome, I was waiting for this video and here it is only in few days ",1
@bkahumuza,Thanks Gwen for one of the most clear explanations I have had in life. Was lost till I found this Video. Thanks!,1
@theshilpitube,"Thank you very much! I learned a lot! I wish you'd add a git log after the last git reset that you did... but it's okay, I can always recreate the project and see how it looks. Thank you again for this tutorial! You are a good teacher!",1
@aldrinseanpereira140,"When first opening the terminal in VS Code,  on the terminal bar just change from ""powershell"" to ""Git Bash"" and then follow along",1
@chahalamit,Best Github Tutorial so far! Hands down. Couldnt appreciate more that how she has considered detailing the tiniest of things about git and github.,1
@iMiike69,"Much appreciated Gwen! This is one step on my long journey into programming, this was all very useful.",1
@enriquelmx,"at 16:57 the equivalent Powershell command to ""la"" or ""ls -la"" commands may be ""ls -force"" or ""Get-ChildItem -Force"". The ""ls"" command in Powershell is a Get-ChildItem alias.
Edit: guys I found this command really useful to see all the commits in different branches more visual-friendly: git log --graph  , you can add --oneline to display the info more summarized.",1
@rayfagalde423,best tutorial ive ever seen. bouta save my grade like a super hero,1
@basilali9767,Amazing platform for ever...i didn't seen ever before..i'm always waiting this video,1
@lckylke5751,"Showing hidden files on windows and in powershell wil work with ""dir -Force"" :) Good Tutorial btw",1
@syundown6005,"Amazing tutorial, being a comp info systems student the only class I ever had that included GitHub only involved us uploading a Google Colab notebook to a GitHub repo a single time and from there every project I ever had just immediately assumed I knew how to use every corner of Git, so I'm only half way through this tutorial and it already feels like it has taught me so much.",1
@patrickvandersluis2796,"Gwen, once again you have created the exact video I needed. Thank you for the effort and commitment it takes to professionally produce these pieces. I have enjoyed many of your tutorials.",1
@khatwanik,Thank you Gwen for creating this simple and easy to understand content for both beginners to learn git basics and for experienced professionals to refresh and reinforce Git command line skills.,1
@dannywadhwa1759,This was a great video to get familiar with the Git concepts in order to start working on it. Thanks Gwen,1
@wesjonm,This was an incredible tutorial on Git! Very easy to follow and understand. Thank you,1
@Badalkumar-me9ok,"Such an excellent teacher, I had many problems understanding Git and Git hub now I completely understand all that stuff.",1
@Shad1991,"First time seeing your tutorial and I'm so impressed...structured and easy breakdown of git and github..thanks so much
Your channel will become a playground for me now.",1
@allishagreen4385,"OMG thank you so much for this video
 This was right on time for me. Please keep the awesome videos coming I greatly appreciate them ",1
@middle-agedclimber,This is the most comprehensive tutorial I have seen.,1
@julian_pp,thank you! I was looking for something like this. Good job Gwen!,1
@mong4491,The SSH KEY part should be moved up to the creating GitHub part......,1
@hosseindadashi3578,simple and fluent. That is what we need nowadays. well done Gwen ;),1
@erisaround,"if you can't use git bash instead of powershell in the terminal:
1.Reinstall Git Bash to primary drive (C:).
2.Check ""Add a Git Bash Profile to Windows Terminal""
3.Restart VS Code",1
@uyiosaakpasubi6052,"Thank you so much for this, it was a really amazing video. I had a few issues setting up for windows ( had to download git bash), also I encountered a problem using the Personal Access Token (This comment is from December 2022 and the fine-grained token is  in beta) to push to github . I resolved this by using the classic token",1
@parlezvsfr,"Excellent tutorial ! Very clear. I spent last 2 - 3 hours following it step by step and I understood everything ! I had no difficulty in reproducing the path. And it is very practical. I am a UX UI designer, so a bit impressed with the code. But that was real smooth. Well done !!!",1
@carlosvenegas8981,Hi what extension in vscode are you using to show git: (master) and in color?  thanks,1
@nabarupghosh9743,"We just asked for it ...
And here they are",1
@altaykaan,"It is well organized video, thank you with a perfect narrator",1
@emanimal,"Hey Gwen, love the material I learned a lot. Thank you so much for taking out the time to do this,  myself and I am pretty sure others definitely appreciate it. Questions what is the extension you use on VS Code that gives you that nice looking late out and helps differentiate things. Maybe you can run by some extensions you think would make VS Code easier to use. Thank you.",1
@beinerthchitivamachado9892,"Short, Sweet and to the Point. EXCELLENT VIDEO.",1
@balijeanbirba3456,Excellent tutorial course of Git and GitHub.,1
@nguyenvanthang7387,"Love freecodecamp contents. Super easily undestand, infomative and total FREE.
Could you make a tutorial about devops, CI/CD. That's would be a complete flow in software development. Anyway, many thanks <3",1
@nurullahates4585,"terminal keeped asking me ""username"" and ""password"",  ""git config --global credential.helper store"" command solved my problem, after ssh creating, adding, config file generating.",1
@tavettehepburn6154,This really helped clarify the difference between the different workflows based on whether you start with a local repo or a repo that is on Github. Thanks so much!,1
@donaldli1864,I love your hair style. For the past 10 months I have shaved my head 4 times,1
@ChaneLX645,Watch this in 1.5 speed,1
@antilovehyk,thank god I end up in video where all my question are answered. even the git for dummies book doesnt explain the jargons and i was confused. this is a really great tutorial.,1
@imed-boumalek,"""I tell the waitress i wanna a fork""- the Italian man  who went to malta, 2005",1
@karthikbachawala,This video helped a lot. I have never used this technology but it was easy to learn. Thank you!,1
@c38ns,This is the best Git/GH tutorial I've ever seen.,1
@anubisystems,This is definitely a master class! thank you so much!,1
@vvidalftw,"I just want to thank Gwen and all the amazing team at FreeCodeCamp, who make possible for people like me to learn this way. I'm feeling very motivated to keep learning to improve my skills. I'm a sysadmin wanting to become a developer, so this course worked pretty well to learn about git and getting used to syntaxis used in git.
Now I'm one step closer to it.
Thanks again and keep the good work you people are doing.
Regards from Chile.",1
@HolymanFMZ,"You don't realise the way you just save my entire career, That's really for dummies like i was in the beginnig of your tutoriel,

 thanks a billion times",1
@percys8774,"Starts off ok and then starts rapidly jumping around and loses beginners. Doesn't specify where to type in the ssh-keygen. Are we still in VS Studio? It's amazing that new IT people ever get trained, because every expert is unable to go slow and explain things step by step. So sick of getting ditched by instructors because it's so easy for them and they forgot what's it like to be a beginner.",1
@Aepus,"Just wanted to say, this helped me out a bunch. The terminology breakdown at the beginning was very appreciated as well as your well-paced explanation. Thanks for uploading this!",1
@kevinlomeli801,I'm not a native speaker. And the voice of this girl is so useful to understand this video.,1
@kalucardable,This is on par with expensive courses seen on Udemy and Coursera. Thank you for making this tutorial.,1
@apurbajitdas,"Short, Crisp, To the point. Wonderful Lecture",1
@JorgeFoody,"I am pretty new to Git and I liked your video very much. First I think that the explanations are super easy to understand and second I like that you are using command line and git hub to show the features.
I will now be searching for release management with Git, but you gave me already some nice ideas. Thank you",1
@petsco3623,this is prolly the best git and github tutorial out there,1
@umamiimamu,"u did a great job, the best git and GitHub tutorial on youtube I could find. really appreciate what this channel is doing ! Love all u guys <3",1
@valentinlazar22,"This video was very helpful to me. It was also my first git video and I really got the concept. I don't know why, but while watching this video, I felt like a part of a community working together towards an end goal. Thank you very much!",1
@shalinichatterjee204,"This is by far the best best best video I have seen to learn GITHUB, thank you so much Gwen :)",1
@fadinimer4574,"for a long time wanted to learn Git & GitHub and this video explained just right to me. 
thank you so much",1
@danhle7999,in 16:31 for someone using powershell 7.x on windows 11. it's `ls -h` which `h` for hidden files.,1
@aniad264,"I am a total noob but this tutorial is very straightforward. Amazing, thank you!",1
@vivektelang,"This was a great tutorial, exactly what I needed. I liked the way you boiled down so much content, and kept it understandable, without going down every rathole. I might have to go back to watch the merge/fork part, but this is all I need for now to get started. Thanks!",1
@ericlimbe3876,Greatest video on version control. Still relevant in March 2023,1
@fernandoguimaraes4415,For sure one of the best videos to watch while you learning to code,1
@srivathsan8853,"Very good guide for beginners. Now from my Zero knowledge in Git, I have got some basics understood from this video",1
@ardabaysallar2029,"wow! so helpful, I was rusty and am now feeling refreshed and shiny again. ",1
@camillecorti383,"Tutorial is clear, concise and voice is so NICE!  I am watching on the Eve of Bitcoin's 14th bday. Thank you, Gwen, for your contribution to decentralization. I <3 u",1
@mediaconsumption1452,This is the best git tutorial on YouTube,1
@rskmahesh3531,One of the best tutorials on the entire internet.,1
@johnnosek731,"My feedback: this was an incredibly helpful overview of how to use git.  Thank you.  I've been using it for over a year now but some of the commands I just ran because that's how I'd seen more senior devs do it.  I really appreciated you explaining what some of the arguments mean (e.g. HEAD, origin, -u).  I know there is a ton more that git can do but from my experience this will give people 90% of what they'll ever use git for.",1
@Daniel_Ikenna,Amazing crash course. I just refreshed my knowledge on Git and GitHub with this course. Thank you,1
@binyamtilahun6417,"Gwen, thank you for creating such a clear and informative video on Git and GitHub. Your explanations were particularly helpful, and I appreciate you taking the time to share your expertise.",1
@mannistudio,Excellent tutorial!  Wanting to learn this 'properly' for years.  Salute!,1
@AmitYadav-rp3ot,For me this was the best video on getting started with Git. Thank you so much for the great explanation,1
@estereotipo20,best Git tutorial I have found. I finally understand how this works and I am looking forward to continue using it. Thanks Gwen,1
@christianleleux2535,A warm thank you for sharing your broad experience in such a clear way. First time I've the feeling to understand GIT in real workflow. Have a gooooood day.,1
@gustavocortez6569,"yoooo this is amazing! I love how you repeat the steps slightly differently. It really helps me understand how things work. I'm just a salesguy but this has been auper helpful, thanks!",1
@chaceciulla9783,"Great pacing and easy to work alongside. Loved making all these commands work for the first time and having it all ""click"". Thank you!",1
@rafaelsantos9086,"absolute beast of an instructor, thank you dearly!",1
@philipheah6557,What a great lesson. Learnt a lot in just 1 hr. Great job. Thanks Gwen.,1
@adnanmumtaz4479,"Gwen, You made this tutorial easy for newbies as well. Hats off to your. Keep up the great work.",1
@Aldedandra,"This was an amazing tutorial. I only knew of GitHub, but wasnt aware of the difference between Git Hub. As a beginning and aspiring developer, this was very informative. Thank you!",1
@samuelogundoju6365,Thank you. I finally know how to find my way around git and GitHub thanks to you.,1
@werekublaise4651,My first video to Ever complete on freecodecamp .. doing each practical step by step with a full understanding .. thanks you ma,1
@obinnasunday2823,best lecture on youtube regarding this topic,1
@francisegah6115,This is literally the most direct git tutorial i have seen. The explanations are very clear and easy to understand. Will surely recommend this to my colleagues.,1
@foruzanhamedi6448,"you are absolutely awesome your voice, your slowly explanation, your knowledge everything. thank you so much",1
@evanwarren1010,"while i'm aware this is terrible reasoning, it's amazing how quickly I came to trust you as an educator after seeing the character lineup of Mother 2 on a shelf in the background.",1
@SifuNH,"Hello Gwen, Thank you for this tutorial. I support a plugin for VS Code and felt I needed to understand Git better to support my plugin. Mission Accomplished!!!",1
@suhud-al-yeqeen,Many thanks for this Gwen. Your explanation is comprehensible for beginners and intermediate alike,1
@roelyoon,"Thank you for the amazing tutorial! As a beginning dev, you've taught me a lifelong skill in just an hour!",1
@Ramya-z6x,Thoroughly enjoyed learning the git and github concepts. Explanations are very clear.,1
@jaimegarcia8447,"Loved this tutorial. Perhaps the best git tutorial I've found. Gwen's explanations are as clear and concise as they can be. 

That said, I feel the conflict management bit might have been expanded a bit though (I found a bit surprising that the conflict was fixed in the test branch but master was behind when the section finished - my knowledge is very limited so I might be talking rubbish though).",1
@DheerajAeshdj,i got a clear understanding of how git and github works. thank you.,1
@tantegreta,"Thank you, this is really good stuff. 1 hour and I know everything I need to know to start my project. Concise and constructive, thanks a lot!",1
@zoezou748,this is the best video ever for github beginner! thank you Gwen!,1
@anudeepnayakoti,"Its a great course for complete beginners to learn about GIT. I used Git from many years, but wasn't aware about importance of the ""upstream"" command. This course made me understand it. Thank you so much for your efforts. I appreciate it.",1
@OracleOfSages,Wow awesome video! You are helping so many people get starded in their journey to software engineer! Me included!,1
@orhannaseri,Thank you so much You saved me from a big problem. I was stuck on this topic for 2 weeks but your video helped me.,1
@mordest_porcket27,Had fun learning from you. However one thing you can add is to show how the processes differ between mac an windows i had a lot of issues following along since i primarily use windows. however i got insights from GitHub publishing.,1
@MariaAkterRimi-h9y,Your pronunciation is so clear! and the video of course was so good!,1
@uzairmughal4976,I am addicted to this channel already,1
@jk377y,Wonderful explanation.  I just started a coding bootcamp and this was a great help.,1
@NsorEnya,Gwen! This was amazing!! I feel so confident with Git and Github already...thanks a lot!,1
@Ajoi14,That was a really nice intro! Now I understand the Merge Conflict way better! Thanks Gwen! ,1
@savithpanamgama2107,Got introduction to git and GitHub madam. Learnt a lot!!,1
@edwinantonius63,"Great explanation of how to use and integrate Git and GitHub into your IDE. Scrolling through the timeline it seemed that I could skip some topics since they don't cover the exact information that I was actually looking for. Only to find out later that one by one, most if not all of my questions are answered in these topics. Pleasant surprise. Great work!",1
@hackeymabel8296,love all the hotkeys included in your speaking,1
@bl.fl.,Thank you for the tutorial! <3 This is the best explanation for Git & GitHub I've found so far and I've been looking for a while! It's perfect for super beginners.,1
@mohammedelhassanhabiballa5700,You made it as easy as butter!. Thank you so much Gwen,1
@ManishKumar-cz3ud,Thank you Gwen! I really like the way you narrate.,1
@carolinamora1926,I'm branching into technical writing and this is an amazing class! Thank you!,1
@vandanpandya9587,A nice and intuitive video explaining github and its functionality.,1
@tejasbawa,"Thank you for getting me started in Git/Github, this toutorial was a great help",1
@AbhishekRavinuthala,Hands down the best tutorial i came across. Thanks a ton!,1
@theinhtetaung7193,Thanks!,1
@RajeevRanjan-zl8nw,Thanks for this amazing tutorial. It was very concise and clear. A must watch for everyone struggling with git and github.,1
@timbald,Superb. Thank you. >4.3 million views says it all. Brilliantly done. Good use of time back in Covid!,1
@shravanpopstar,Thank you for the explanation. I am new to git and this gave me a clear overview of the git mechanism. you're great!,1
@joaopedrovoga5497,"As a newbie programmer, I can't believe I was just saving all my projects to Google Drive until now!",1
@ken-sims,This was a great tutorial. Very easy to understand. Thanks Gwen!,1
@evrarddylane6449,"masterpiece
I'm so grateful I watched this tuto.The Lady is really good at explaining",1
@The3biscuits,This helped me set up git and github access for the first time. Thanks!,1
@Jahuni..,"This video was my introduction to Git, @FaradayAcademy is an amazing teacher. I am about to buy your book; this is how I say THANK YOU and show my support!",1
@alexmondragon2594,"Hey guys, if anyone see a "".DS_Store"" file when you commit (with mac) , be careful! Usually this doesn't show when you have a "".gitignore"" file set to ignore it in you app's folder. Probably Gwen turned off the automatic creation of this file globally in her terminal by running: defaults write com.apple.desktopservices DSDontWriteNetworkStores true

You can turn it back on by running: defaults write com.apple.desktopservices DSDontWriteNetworkStores false

Thank you so much Gwen, FCC and this amazing community!",1
@davidesther5987,"TimeLine
1:10 What is git
1:30 What is version control
2:10 Terms to be learn in video
 Git commands
 sign up in github
 using git in local machine
 git install
 getting code editor
 inside vsCode
 cloning through vsCOde
 git commit command
 git add command
 commiting
 git push command
 SSH Keys
 git push
 Review  workflow so far
 Compare between github workflow and local git workflow
 git branching
 Have fun is not allowed
 Forking in git
 Ending",1
@unlimitedRewind1,At 24:55 I place bookmark. Thank you for the course.,1
@bearcountrypublishing5303,Thanks so much.  I have been struggling with git.   I've broken to many of my repos for sure.  I think this new knowledge will help me so much.  ,1
@davidk7212,"I still can't believe Git actually changed the standard name ""master"" to ""main"". The sensitivity and the pandering truly knows no limits.",1
@arjunsemwal02,Thank you so much Ms. Faraday for sharing this great and helpful easy to understand tutorial ,1
@ph7305,"Thanks so much! At last I found a video for Git and GitHub that was clear, understandable! Great help.",1
@shreyasrivastava693,It was just great watching the video! Such clarity of teaching.,1
