Username,Comment
@757noi6,anyone knows what the extension is to see for the options in the headers when encountering a merge conflict. I can't seem to see it when i have a merge conflict
@CodeWithPROSPER,U guys make it sound hard
@sulemanjamali9162,"Hey, I am having trouble in the ""git push origin master "" part, some error is coming "" error: src refspec master does not match any"". Can someone please help me out? Thanks"
@stanybenny7592,fatal: Could not read from remote repository. When trying to pull it to VSC. How to fix?
@Ndunda_Kelvin,"When i write cd demo it tells me no such  file or directory. When i refer to it as demo-repo yes i go to the folder but no master. Don't judge me, just new to git."
@gamezszsz,when I would try git push it would prompt me for a username and password for github. and the password wasn't my github password it I had to generate a personal access token. have no idea why that didn't happen in the vid so confusing
@mannistudio,"Luv'd this course.  BUT, I got myself in a bit of a jam.  I was in a directory that has several sub-dirs which also contain files.  I believe I accidentally typed in:  git add . (dot) which then added every subdir + files into git as untracked.  Not good as I now have many, many dirs & files in untracked status.  I did not do a commit (thank gawd).  So, i tried all kinds of combos of:  git clean;  git clean -fd & git rm --cached on just a few files or on a subdir/files (backed up of course) and found that these commands actually delete the file on disk along with untracked files in the work area.  This is really bad.  So how do I back out of this predicament? Here is an example.  Each dir ha many files:

$ git status -s
?? ./
?? ../Javascript/
?? ../SquareAPI/
?? ../Project X/
?? ../Project Y/"
@itsgojoverfr,"I wonder if anyone had the same problem as me when I used 'git push origin master' command in my CLI. Turns out the branch isn't called 'master' anymore, now its called 'main'. So try 'git push origin main' instead"
@vatroslavzapletal6428,can you make an update? github has changed the pages menu. Iam confused
@gporto.,Note to self: the stuff you always spend an embarrassing amount of time searching for is @ 26:39
@MattLozier314,when I issue: $ git push origin main  I am prompted for my github credentials.  I enter them but then recieve a message that this form of authentication is no longer supported.  Anyone else have this problem?
@daniellaregal7432,Hey guys I'm having issues with the ssh key and agent parts partly because I'm using a Windows and she's using a Mac so I'm confused. I keep trying to add the ssh key to the ssh-agent but the terminal keeps telling me that there is no test key file and the test key is literally there
@harunrhimu,Thanks for quitting the fear of git and github.
@bassycounter,either i'm brain dead or literally every single resource I've tried using to set up ssh so I can clone my own repo to my machine is false information.
@SergejBichek,"sorry I got only until 17 minutes and already got 3 problems
1)could not pull data from github 
needed to create key for ssh

2)could not open folder with command cd demo
tried with cd demo-repo and it kind of worked
(so i guess you cropped video in bad place)

3)still cant see file inside with command ls -ls

so overall hard to follow tutorial if every step is not working
maybe someone has solution that i don't know"
@frigglediggle2,"Dude, this is so discouraging. I'm trying to follow along with all these YouTube videos. I've even been asking Google Gemini for help, but I keep getting all kinds of errors and complications and I have no idea how to solve them."
@tuck295q,Alot of your command give  error on my end on windows.
@saqlainalvi5485,The audio was really low. Couldn't hear much half the time
@Proviper666,21:55 I lost it some thing
@amritstha873,"so what to type to search for the key you just skip your  steps, not happy with your video"
@kaushalsaraf8242,git ignore is missing
@HeroicVampire,"to setup that the key to our machine is complete mess 
she did not tell step by step instructions, to complete this tutorial i have to see many videos to setup the key"
@KelvinWeb,Forking wasn't really clear
@reason7895,15:20 SSH cloning gives error as SSH is not setup. Disappointed with this incomplete tut:/
@gb0ye,"well contrary to other comments, this was bad, i mean i couldn't follow past few minutes of the video. what about windows users ?"
@samSam011,This video is very confusing for beginners 
@EDITFILIPOVIC,"This tutorial isn't good, too many things aren't explained well and it is went through too fast. Waste of time."
@fazable,Too many ads irritating asf
@AnotherCG,Yeah but no all that SSH key mess not going to fly
@reshubhutda7744,Its not good I have to watch another video to get most sense out of it
@livingwork,you skipped so many steps what a terrible video
@dallasrieck7753,"""we're going to learn"", !?, you may share it, but you, i doubt know if anyone will ""learn"" it"
@udemezueiloabachie8626,not a great teacher
@RaheEl_Qaisrani,unfortunately she just glance over windows part while giving GitHub link which is not even a bit helpful
@JD-ge9hj,i dont like women with short hair.
@meeett,Saw many type of tutorials on yt but this one is most boring so far
