Username,Comment
@icono__7136,"I feel so relived; I'm finally learning this darn thing! Thank you for the tutorial. Thank you for taking the time to do this Gwen!

Edit: Upon reviewing the tutorial again, I'd like to say:

1. When creating a tutorial, you guys should  understand the importance of slowing down to the pace of the learner. In the beginning you walk us through a nice set of key terms (which was exceptional), then start mixing lots of advanced and beginner-level concepts together in your explanations, confusing the person that's watching the video. Slow down, explain like we're 5, that's why we're here.

2. To expand upon the issue of mixing things up I mentioned above, it's okay to keep a tutorial short, and add footnotes later if you think that the advanced concepts you're touching on are still worth being aware of. That way, the beginner can truly focus their attention on the basics, and then access the footnote only when they feel comfortable with the knowledge they've acquired thus far, making the content of your footnotes even more effective. After all, isn't good programming about being efficient? 

I used to get annoyed at being expected to take additional English classes as a Computer Science student, but now I understand why. I spent 4 hours yesterday debugging a Terminal issue, only to later realize that there was an ""issue"" because the person who created the how-to GitHub document instructed the reader to paste this code into the Terminal command line: 



They said to  this command in the terminal (meaning: include the quotation marks). After 4 hours of learning about chmod, File Links, Groups, root directory, Inodes—things I knew NOTHING about prior to this, I resolved my problem by simply removing the quotation marks. 

Now, the arrogant developer might say, ""Well that's obvious"". No it's not! The person said ""paste"", meaning I would: 

- Select the piece of code
- Apply ctrl+c to it, for Windows (cmd+c on Mac)
- Go to the Terminal and apply ctrl+v/cmd+v

Either the tutorial should have been made like this: 

 ,  

or the person writing the document should I mentioned that the quotation marks need to be removed. 

As Software Engineering becomes more collaborative, programmers can no longer get away with being asocial, and communication impaired, so this is an area a lot more engineers need to start being proficient in ."
@CassCodeIt,"So as a self taught developer this has not been my first time looking into Git, but this the first time commands lines were explained even better which is good. 

Most places I would only get commands and work from there not knowing how to and when to use them.

Gwen here, did a great job explaining and sharing the common usage and howwhen to. I am now confident to continue working and learning git.
Thanks greate content."
@samuraijack5919,"When I get my job in web development, you can be sure that I'm coming back to help you guys out."
@rerere7702,I'm literally five minutes in and I can already tell that you put great detail into this video. Keep up the great work!
@jinyoungchoi3443,This video is amazing! I failed to understand Github for several years until I came across this video. Thanks!
@tjex,"21:34 - you need to type in the full file path with the desired file name at the end. eg. /Users/tillman/.ssh/[insert desired file name]
Otherwise it just ends up in the root of the Home folder. Just so people know. Could cause confusion."
@VishalGupta-xw2rp,You People are like a Blessing... Like Water in Dessert... You People are too Good for us. May the Force be with you️🇮🇳
@JIHYELEE-h2m,I'm not native speaker of English. So I really appreciate your speed of speaking. Thanks a lot!
@alanmurray4011,Thanks Gwen. This is the best beginner tutorial I have come across for Git and GitHub. What makes it the best is that you don't assume that any bit of information is too trivial or unimportant to mention. I feel a lot more comfortable on the topic now. Thanks again!
@Kawaremu,I really learnt many things out of this video and I'm finally able to dive into version controls softwaare yeeeea!
@criscrawford4615,"Thanks - I forgot everything ""git"" in the last year and relearned it all plus more after watching this one hour video."
@ei_acc,"If you're a new to web development this is very important, precisely what I was looking for. thanks for this amazing content"
@bkatsevych,Probably the best Git and GitHub crash course newcomers can have. Thanks a lot for a perfectly done job!
@SuperLm21,"The way you are explaining your voice timming is just perfect to go along . I´m confident using Git now and it´s no longer a monster , off course it needs practice . Thanks from Portugal!"
@user-vq5gv1vg3w,"You did an amazing job, I don't collaborate on any projects and just used git for tracking changes over time, making my github page look busy, and project copypasta. But this reminded me how immensely useful git is; built a reference guide around your video Thank you!"
@thecalgarians4597,"It's the best Git / Github tutorial out there and that too at no cost to the learner.
Amazingly explained all important and, I believe, the most commonly used git commands / Github operations in such an easy to understand manner.
I feel so confident now in using git/github from earlier being a Zero in this space.
I'd spcially acknowledge the slow pace of Gwen's speaking while explaining all these concepts.
Wonderful job done, Gwen.
Thank a ton!!!!!"
@tradewithaakash2939,5 min into the video and i already know that this is the correct video to understand git and git-hub.
@MS-wv8nk,"Gwen, your tutorial is absolutely excellent! I am so grateful for IT pros like you! You are very clear, thorough, detailed. I've always wanted to better understand Git & Github and I believe you are my answer to learn how to make use of these great tools. It's SO nice to have a non-judgmental pro who makes sense and doesn't teach as if most of us out here already know what the tool does and how we can benefit from it. Hopefully I can teach my friends in time. I've just become your newest subscriber, so many thanks and please keep up the excellent teaching. I'm excited and now engaged...I've just got to make time to learn it and learn it well.

Much respect.
 - MS!"
@charlesagyei9200,The best Git tutorial I’ve ever had. Straight to the point and clear explanations to the important features. Thank you so much
@bahador924,by far this was the best course on GitHub I have ever seen.
@EricTighten,"Just to make it clear, if you don't have your ssh set up yet, you won't be able to clone the repo to your local machine, which is at around 15:05 of this tutorial"
@brickviking667,"Thank you for this course, it seems to be a great refresher. My only comment about the content is that at least at my end, the audio is really quiet in comparison to a lot of the other videos I look at. I'm not sure if this is deliberate."
@prabhatkumarsingh5728,"You guys are awesome, I was waiting for this video and here it is only in few days "
@bkahumuza,Thanks Gwen for one of the most clear explanations I have had in life. Was lost till I found this Video. Thanks!
@theshilpitube,"Thank you very much! I learned a lot! I wish you'd add a git log after the last git reset that you did... but it's okay, I can always recreate the project and see how it looks. Thank you again for this tutorial! You are a good teacher!"
@aldrinseanpereira140,"When first opening the terminal in VS Code,  on the terminal bar just change from ""powershell"" to ""Git Bash"" and then follow along"
@chahalamit,Best Github Tutorial so far! Hands down. Couldnt appreciate more that how she has considered detailing the tiniest of things about git and github.
@iMiike69,"Much appreciated Gwen! This is one step on my long journey into programming, this was all very useful."
@enriquelmx,"at 16:57 the equivalent Powershell command to ""la"" or ""ls -la"" commands may be ""ls -force"" or ""Get-ChildItem -Force"". The ""ls"" command in Powershell is a Get-ChildItem alias.
Edit: guys I found this command really useful to see all the commits in different branches more visual-friendly: git log --graph  , you can add --oneline to display the info more summarized."
@rayfagalde423,best tutorial ive ever seen. bouta save my grade like a super hero
@basilali9767,Amazing platform for ever...i didn't seen ever before..i'm always waiting this video
@lckylke5751,"Showing hidden files on windows and in powershell wil work with ""dir -Force"" :) Good Tutorial btw"
@syundown6005,"Amazing tutorial, being a comp info systems student the only class I ever had that included GitHub only involved us uploading a Google Colab notebook to a GitHub repo a single time and from there every project I ever had just immediately assumed I knew how to use every corner of Git, so I'm only half way through this tutorial and it already feels like it has taught me so much."
@vashishtsharma7217,"This is free content so if you don't like it, You should tell her in the comments than disliking it."
@patrickvandersluis2796,"Gwen, once again you have created the exact video I needed. Thank you for the effort and commitment it takes to professionally produce these pieces. I have enjoyed many of your tutorials."
@khatwanik,Thank you Gwen for creating this simple and easy to understand content for both beginners to learn git basics and for experienced professionals to refresh and reinforce Git command line skills.
@dannywadhwa1759,This was a great video to get familiar with the Git concepts in order to start working on it. Thanks Gwen
@wesjonm,This was an incredible tutorial on Git! Very easy to follow and understand. Thank you
@Badalkumar-me9ok,"Such an excellent teacher, I had many problems understanding Git and Git hub now I completely understand all that stuff."
@Shad1991,"First time seeing your tutorial and I'm so impressed...structured and easy breakdown of git and github..thanks so much
Your channel will become a playground for me now."
@allishagreen4385,"OMG thank you so much for this video
 This was right on time for me. Please keep the awesome videos coming I greatly appreciate them "
@middle-agedclimber,This is the most comprehensive tutorial I have seen.
@julian_pp,thank you! I was looking for something like this. Good job Gwen!
@mong4491,The SSH KEY part should be moved up to the creating GitHub part......
@hosseindadashi3578,simple and fluent. That is what we need nowadays. well done Gwen ;)
@erisaround,"if you can't use git bash instead of powershell in the terminal:
1.Reinstall Git Bash to primary drive (C:).
2.Check ""Add a Git Bash Profile to Windows Terminal""
3.Restart VS Code"
@uyiosaakpasubi6052,"Thank you so much for this, it was a really amazing video. I had a few issues setting up for windows ( had to download git bash), also I encountered a problem using the Personal Access Token (This comment is from December 2022 and the fine-grained token is  in beta) to push to github . I resolved this by using the classic token"
@parlezvsfr,"Excellent tutorial ! Very clear. I spent last 2 - 3 hours following it step by step and I understood everything ! I had no difficulty in reproducing the path. And it is very practical. I am a UX UI designer, so a bit impressed with the code. But that was real smooth. Well done !!!"
@carlosvenegas8981,Hi what extension in vscode are you using to show git: (master) and in color?  thanks
@nabarupghosh9743,"We just asked for it ...
And here they are"
@altaykaan,"It is well organized video, thank you with a perfect narrator"
@vaclavjochim177,"What happened at 21:45? Also my path is weird (Windows)

 C:\Users\Vaclav/.ssh/id_rsa

what is ls | grep? That command does not exist... Anything after  does not work, any help highly appreciated"
@emanimal,"Hey Gwen, love the material I learned a lot. Thank you so much for taking out the time to do this,  myself and I am pretty sure others definitely appreciate it. Questions what is the extension you use on VS Code that gives you that nice looking late out and helps differentiate things. Maybe you can run by some extensions you think would make VS Code easier to use. Thank you."
@beinerthchitivamachado9892,"Short, Sweet and to the Point. EXCELLENT VIDEO."
@balijeanbirba3456,Excellent tutorial course of Git and GitHub.
@nguyenvanthang7387,"Love freecodecamp contents. Super easily undestand, infomative and total FREE.
Could you make a tutorial about devops, CI/CD. That's would be a complete flow in software development. Anyway, many thanks <3"
@samuelonyango5355,"I really learned alot form this, some concepts that initially were not clear to me are now solid."
@nurullahates4585,"terminal keeped asking me ""username"" and ""password"",  ""git config --global credential.helper store"" command solved my problem, after ssh creating, adding, config file generating."
@viswashh,24:40 I am really confused here
@tavettehepburn6154,This really helped clarify the difference between the different workflows based on whether you start with a local repo or a repo that is on Github. Thanks so much!
@donaldli1864,I love your hair style. For the past 10 months I have shaved my head 4 times
@ChaneLX645,Watch this in 1.5 speed
@antilovehyk,thank god I end up in video where all my question are answered. even the git for dummies book doesnt explain the jargons and i was confused. this is a really great tutorial.
@imed-boumalek,"""I tell the waitress i wanna a fork""- the Italian man  who went to malta, 2005"
@karthikbachawala,This video helped a lot. I have never used this technology but it was easy to learn. Thank you!
@c38ns,This is the best Git/GH tutorial I've ever seen.
@anubisystems,This is definitely a master class! thank you so much!
@vvidalftw,"I just want to thank Gwen and all the amazing team at FreeCodeCamp, who make possible for people like me to learn this way. I'm feeling very motivated to keep learning to improve my skills. I'm a sysadmin wanting to become a developer, so this course worked pretty well to learn about git and getting used to syntaxis used in git.
Now I'm one step closer to it.
Thanks again and keep the good work you people are doing.
Regards from Chile."
@HolymanFMZ,"You don't realise the way you just save my entire career, That's really for dummies like i was in the beginnig of your tutoriel,

 thanks a billion times"
@percys8774,"Starts off ok and then starts rapidly jumping around and loses beginners. Doesn't specify where to type in the ssh-keygen. Are we still in VS Studio? It's amazing that new IT people ever get trained, because every expert is unable to go slow and explain things step by step. So sick of getting ditched by instructors because it's so easy for them and they forgot what's it like to be a beginner."
@Aepus,"Just wanted to say, this helped me out a bunch. The terminology breakdown at the beginning was very appreciated as well as your well-paced explanation. Thanks for uploading this!"
@kevinlomeli801,I'm not a native speaker. And the voice of this girl is so useful to understand this video.
@kalucardable,This is on par with expensive courses seen on Udemy and Coursera. Thank you for making this tutorial.
@apurbajitdas,"Short, Crisp, To the point. Wonderful Lecture"
@JorgeFoody,"I am pretty new to Git and I liked your video very much. First I think that the explanations are super easy to understand and second I like that you are using command line and git hub to show the features.
I will now be searching for release management with Git, but you gave me already some nice ideas. Thank you"
@petsco3623,this is prolly the best git and github tutorial out there
@umamiimamu,"u did a great job, the best git and GitHub tutorial on youtube I could find. really appreciate what this channel is doing ! Love all u guys <3"
@valentinlazar22,"This video was very helpful to me. It was also my first git video and I really got the concept. I don't know why, but while watching this video, I felt like a part of a community working together towards an end goal. Thank you very much!"
@shalinichatterjee204,"This is by far the best best best video I have seen to learn GITHUB, thank you so much Gwen :)"
@fadinimer4574,"for a long time wanted to learn Git & GitHub and this video explained just right to me. 
thank you so much"
@danhle7999,in 16:31 for someone using powershell 7.x on windows 11. it's `ls -h` which `h` for hidden files.
@aniad264,"I am a total noob but this tutorial is very straightforward. Amazing, thank you!"
@vivektelang,"This was a great tutorial, exactly what I needed. I liked the way you boiled down so much content, and kept it understandable, without going down every rathole. I might have to go back to watch the merge/fork part, but this is all I need for now to get started. Thanks!"
@ericlimbe3876,Greatest video on version control. Still relevant in March 2023
@fernandoguimaraes4415,For sure one of the best videos to watch while you learning to code
@srivathsan8853,"Very good guide for beginners. Now from my Zero knowledge in Git, I have got some basics understood from this video"
@ardabaysallar2029,"wow! so helpful, I was rusty and am now feeling refreshed and shiny again. "
@camillecorti383,"Tutorial is clear, concise and voice is so NICE!  I am watching on the Eve of Bitcoin's 14th bday. Thank you, Gwen, for your contribution to decentralization. I <3 u"
@mediaconsumption1452,This is the best git tutorial on YouTube
@rskmahesh3531,One of the best tutorials on the entire internet.
@johnnosek731,"My feedback: this was an incredibly helpful overview of how to use git.  Thank you.  I've been using it for over a year now but some of the commands I just ran because that's how I'd seen more senior devs do it.  I really appreciated you explaining what some of the arguments mean (e.g. HEAD, origin, -u).  I know there is a ton more that git can do but from my experience this will give people 90% of what they'll ever use git for."
@Daniel_Ikenna,Amazing crash course. I just refreshed my knowledge on Git and GitHub with this course. Thank you
@binyamtilahun6417,"Gwen, thank you for creating such a clear and informative video on Git and GitHub. Your explanations were particularly helpful, and I appreciate you taking the time to share your expertise."
@mannistudio,Excellent tutorial!  Wanting to learn this 'properly' for years.  Salute!
@AmitYadav-rp3ot,For me this was the best video on getting started with Git. Thank you so much for the great explanation
@estereotipo20,best Git tutorial I have found. I finally understand how this works and I am looking forward to continue using it. Thanks Gwen
@christianleleux2535,A warm thank you for sharing your broad experience in such a clear way. First time I've the feeling to understand GIT in real workflow. Have a gooooood day.
@gustavocortez6569,"yoooo this is amazing! I love how you repeat the steps slightly differently. It really helps me understand how things work. I'm just a salesguy but this has been auper helpful, thanks!"
@chaceciulla9783,"Great pacing and easy to work alongside. Loved making all these commands work for the first time and having it all ""click"". Thank you!"
@rafaelsantos9086,"absolute beast of an instructor, thank you dearly!"
@j_force.90,"21:46 -  If the given command line doesn't work try using the following. (Got it from chatgpt and it worked.)

ls -Name | Select-String -Pattern 'testkey'  

The previous error which leads to the above solution might have occurred bcz of using windows powershell. Widows powershell doesn't have the 'grep' command natively available.
Instead we can use 'Select-String' cmdlet, which performs a similar function to 'grep'

Or else your can use grep command in bash:"
@philipheah6557,What a great lesson. Learnt a lot in just 1 hr. Great job. Thanks Gwen.
@adnanmumtaz4479,"Gwen, You made this tutorial easy for newbies as well. Hats off to your. Keep up the great work."
@Aldedandra,"This was an amazing tutorial. I only knew of GitHub, but wasnt aware of the difference between Git Hub. As a beginning and aspiring developer, this was very informative. Thank you!"
@samuelogundoju6365,Thank you. I finally know how to find my way around git and GitHub thanks to you.
@werekublaise4651,My first video to Ever complete on freecodecamp .. doing each practical step by step with a full understanding .. thanks you ma
@obinnasunday2823,best lecture on youtube regarding this topic
@francisegah6115,This is literally the most direct git tutorial i have seen. The explanations are very clear and easy to understand. Will surely recommend this to my colleagues.
@rakibulhasanrajumeazi680,Thank you so much for this initiative. I was really confused about using git before watching this video.
@foruzanhamedi6448,"you are absolutely awesome your voice, your slowly explanation, your knowledge everything. thank you so much"
@evanwarren1010,"while i'm aware this is terrible reasoning, it's amazing how quickly I came to trust you as an educator after seeing the character lineup of Mother 2 on a shelf in the background."
@SifuNH,"Hello Gwen, Thank you for this tutorial. I support a plugin for VS Code and felt I needed to understand Git better to support my plugin. Mission Accomplished!!!"
-,I followed your tutorial step by step. I was able to get visual studio and github to interface. however I cannot commit and push my changes from my local on Visual Studio to my Repo on Github. I am utterly confused what I am doing wrong as I followed each step specifically you showed us. thank you for taking the time to make these helpful videos !
@suhud-al-yeqeen,Many thanks for this Gwen. Your explanation is comprehensible for beginners and intermediate alike
@roelyoon,"Thank you for the amazing tutorial! As a beginning dev, you've taught me a lifelong skill in just an hour!"
@Ramya-z6x,Thoroughly enjoyed learning the git and github concepts. Explanations are very clear.
@jaimegarcia8447,"Loved this tutorial. Perhaps the best git tutorial I've found. Gwen's explanations are as clear and concise as they can be. 

That said, I feel the conflict management bit might have been expanded a bit though (I found a bit surprising that the conflict was fixed in the test branch but master was behind when the section finished - my knowledge is very limited so I might be talking rubbish though)."
@DheerajAeshdj,i got a clear understanding of how git and github works. thank you.
@tantegreta,"Thank you, this is really good stuff. 1 hour and I know everything I need to know to start my project. Concise and constructive, thanks a lot!"
@zoezou748,this is the best video ever for github beginner! thank you Gwen!
@anudeepnayakoti,"Its a great course for complete beginners to learn about GIT. I used Git from many years, but wasn't aware about importance of the ""upstream"" command. This course made me understand it. Thank you so much for your efforts. I appreciate it."
@OracleOfSages,Wow awesome video! You are helping so many people get starded in their journey to software engineer! Me included!
@orhannaseri,Thank you so much You saved me from a big problem. I was stuck on this topic for 2 weeks but your video helped me.
@mordest_porcket27,Had fun learning from you. However one thing you can add is to show how the processes differ between mac an windows i had a lot of issues following along since i primarily use windows. however i got insights from GitHub publishing.
@MariaAkterRimi-h9y,Your pronunciation is so clear! and the video of course was so good!
@uzairmughal4976,I am addicted to this channel already
@jk377y,Wonderful explanation.  I just started a coding bootcamp and this was a great help.
@NsorEnya,Gwen! This was amazing!! I feel so confident with Git and Github already...thanks a lot!
@omikronweapon,"I feel there's a few steps that could benefit from some details at 25:03
trying to register my key, I found that -K wasnt recognised, while -k was.
also, as an absolute beginner, I failed to realise that ~/.ssh was refering to a directory the repo in the video didnt have.
so ""ssh-add -k testkey"" was what I needed"
@Ajoi14,That was a really nice intro! Now I understand the Merge Conflict way better! Thanks Gwen! 
@savithpanamgama2107,Got introduction to git and GitHub madam. Learnt a lot!!
@edwinantonius63,"Great explanation of how to use and integrate Git and GitHub into your IDE. Scrolling through the timeline it seemed that I could skip some topics since they don't cover the exact information that I was actually looking for. Only to find out later that one by one, most if not all of my questions are answered in these topics. Pleasant surprise. Great work!"
@hackeymabel8296,love all the hotkeys included in your speaking
@bl.fl.,Thank you for the tutorial! <3 This is the best explanation for Git & GitHub I've found so far and I've been looking for a while! It's perfect for super beginners.
@mohammedelhassanhabiballa5700,You made it as easy as butter!. Thank you so much Gwen
@ManishKumar-cz3ud,Thank you Gwen! I really like the way you narrate.
@carolinamora1926,I'm branching into technical writing and this is an amazing class! Thank you!
@vandanpandya9587,A nice and intuitive video explaining github and its functionality.
@tejasbawa,"Thank you for getting me started in Git/Github, this toutorial was a great help"
@AbhishekRavinuthala,Hands down the best tutorial i came across. Thanks a ton!
@theinhtetaung7193,Thanks!
@RajeevRanjan-zl8nw,Thanks for this amazing tutorial. It was very concise and clear. A must watch for everyone struggling with git and github.
@timbald,Superb. Thank you. >4.3 million views says it all. Brilliantly done. Good use of time back in Covid!
@shravanpopstar,Thank you for the explanation. I am new to git and this gave me a clear overview of the git mechanism. you're great!
@pitsil,"15:11 - cloning through vs code: Clone with SSH didn't work in my case as i was getting auth error, so i used  clone with HTTPS instead and it worked."
@joaopedrovoga5497,"As a newbie programmer, I can't believe I was just saving all my projects to Google Drive until now!"
@ken-sims,This was a great tutorial. Very easy to understand. Thanks Gwen!
@evrarddylane6449,"masterpiece
I'm so grateful I watched this tuto.The Lady is really good at explaining"
@The3biscuits,This helped me set up git and github access for the first time. Thanks!
@Jahuni..,"This video was my introduction to Git, @FaradayAcademy is an amazing teacher. I am about to buy your book; this is how I say THANK YOU and show my support!"
